epoch,step,lr,train_loss,val_loss
1,255,9.824559221366095e-06,5.838117586397657,3.043007951312595
2,510,9.310673033669514e-06,2.6995008253583723,2.4636056635114882
3,765,8.494768343131964e-06,2.366615160306295,2.2842003795835706
4,1020,7.4346806868035045e-06,2.183012931019652,2.0723917219373913
5,1275,6.205554551086744e-06,2.0186246212790993,1.9251121282577515
6,1530,4.89451674256327e-06,1.9007222287795122,1.8421235031551786
7,1785,3.5945003901001095e-06,1.8115432771981932,1.773491578631931
8,2040,2.397657364853975e-06,1.7501552450890634,1.7209966897964477
9,2295,1.3888260798558874e-06,1.7147127950892729,1.7030749585893419
10,2550,6.395177052675815e-07,1.6651690062354594,1.673698729938931
11,2805,2.028470874222608e-07,1.6581705486073213,1.63984039094713
